producto,precio,tamaño,sizes_format
Corrector Cover & Fix Deliplus 02,4.00,1.0,ud
Corrector Cover & Fix Deliplus 03,4.00,1.0,ud
Prebase de maquillaje matificante Primer,5.50,1.0,ud
Corrector Hydra-Vital Deliplus 01,4.50,1.0,ud
Corrector Hydra-Vital Deliplus 02,4.50,1.0,ud
Prebase corrector Primer Deliplus 02 tono melocotón,5.50,1.0,ud
Prebase corrector Primer Deliplus 03 tono lila,5.50,1.0,ud
Multi corrector Rimmel 20 fair,6.95,1.0,ud
Multi corrector Rimmel 40 ivory,6.95,1.0,ud
Multi corrector Rimmel 50 sand,6.95,1.0,ud
Iluminador facial fluido Highlighter Deliplus 01,5.00,0.012,l
Bronceador facial fluido Bronzer luminoso Deliplus 01,5.00,0.012,l
Colorete compacto Blush Mate Deliplus 01 rosa,4.85,1.0,ud
Colorete compacto Blush Mate Deliplus 02 coral,4.85,1.0,ud
Colorete compacto Blush Mate Deliplus 03 rojo,4.85,1.0,ud
Colorete compacto Blush Luminoso Deliplus 01 rosa,4.85,1.0,ud
Colorete compacto Blush Luminoso Deliplus 02 coral,4.85,1.0,ud
Colorete compacto Blush Luminoso Deliplus 03 dorado,4.85,1.0,ud
Colorete compacto Blush Satin Deliplus 02 natural,4.85,1.0,ud
Colorete compacto Blush Satin Deliplus 03 rosa vivo,4.85,1.0,ud
Paleta de rostro Sunset Deliplus,7.00,1.0,ud
Iluminador facial fluido Highlighter Deliplus 01,5.00,0.012,l
Bronceador facial fluido Bronzer luminoso Deliplus 01,5.00,0.012,l
Colorete fluido Blush luminoso Deliplus 01,5.00,0.012,l
Colorete fluido Blush luminoso Deliplus 02,5.00,0.012,l
Polvo compacto Sol Deliplus claro,7.00,1.0,ud
Polvo compacto Sol Deliplus oscuro,7.00,1.0,ud
Polvo compacto Matificante Deliplus,5.00,1.0,ud
Polvo Compacto 24H Long Lasting Deliplus 01 beige,6.00,1.0,ud
Polvo Compacto 24H Long Lasting Deliplus 02 beige rosado,6.00,1.0,ud
Polvo Compacto 24H Long Lasting Deliplus 03 dorado,6.00,1.0,ud
Polvo Compacto 24H Long Lasting Deliplus 04 dorado oscuro,6.00,1.0,ud
Polvo Compacto 24H Long Lasting Deliplus 05 bronceado,6.00,1.0,ud
Vaselina hidratante Deliplus,2.00,0.1,kg
Vaselina perfumada para labios Deliplus frambuesa,1.60,0.015,kg
Bálsamo reparador labios Deliplus,2.60,0.015,l
Contorno de labios Regen Skin Deliplus,4.50,0.015,l
Perfilador de labios Long Lasting Deliplus 01 rosa nude,2.50,1.0,ud
Perfilador de labios Long Lasting Deliplus 06 fucsia,2.50,1.0,ud
Perfilador de labios Long Lasting Deliplus 07 rojo,2.50,1.0,ud
Perfilador de labios Long Lasting Deliplus 08 granate,2.50,1.0,ud
Perfilador de labios Long Lasting Deliplus 10 canela,2.50,1.0,ud
Perfilador de labios Long Lasting Deliplus 11 nude,2.50,1.0,ud
Perfilador de labios Deliplus 02 marsala,2.50,1.0,ud
Perfilador de labios Deliplus 05 fresa,2.50,1.0,ud
Perfilador de labios Deliplus 06 Canela,2.50,1.0,ud
Perfilador de labios Deliplus 08 rojo,2.50,1.0,ud
Perfilador de labios Deliplus 07 cereza,2.50,1.0,ud
Pintalabios Color Fix Deliplus 01,4.50,1.0,ud
Pintalabios Color Fix Deliplus 02,4.50,1.0,ud
Pintalabios Color Fix Deliplus 03,4.50,1.0,ud
Pintalabios Color Fix Deliplus 04,4.50,1.0,ud
Pintalabios Color Fix Deliplus 05,4.50,1.0,ud
Pintalabios Color Fix Deliplus 06,4.50,1.0,ud
Pintalabios Color Fix Deliplus 07 frambuesa,4.50,1.0,ud
Pintalabios Color Fix Deliplus 10 nude,4.50,1.0,ud
Pintalabios Color Fix Deliplus 11 marrón,4.50,1.0,ud
Pintalabios Color fix Deliplus 12 rosa medio,4.50,1.0,ud
Pintalabios Creamy Deliplus 201 nude,4.65,1.0,ud
Pintalabios Creamy Deliplus 202 rosa cálido,4.65,1.0,ud
Pintalabios Creamy Deliplus 204 rosa pétalo,4.65,1.0,ud
Pintalabios Creamy Deliplus 205 rosa fucsia,4.65,1.0,ud
Pintalabios Creamy Deliplus 207 ciruela,4.65,1.0,ud
Pintalabios Creamy Deliplus 210 rojo,4.65,1.0,ud
Pintalabios Creamy Deliplus 212 marrón crema,4.65,1.0,ud
Pintalabios Creamy Deliplus 213 marsala,4.65,1.0,ud
Pintalabios Creamy Deliplus 214 nude perlado,4.65,1.0,ud
Pintalabios Creamy Deliplus 215 malva suave,4.65,1.0,ud
Pintalabios Creamy Deliplus 216 rosa medio,4.65,1.0,ud
Pintalabios Creamy Deliplus 217 melocotón,4.65,1.0,ud
Pintalabios Creamy Deliplus 218 granate suave,4.65,1.0,ud
Pintalabios Creamy Deliplus 219 marrón chocolate,4.65,1.0,ud
Bálsamo labial Color Balm Deliplus 05 rojo,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 06 morado,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 07 nude pink,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 08 nude beige,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 09 rosa medio perlado,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 10 coral,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 11 rosa,4.50,1.0,ud
Bálsamo labial Color Balm Deliplus 12 frambuesa,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 01 transparente,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 02 nude,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 03 pink nude,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 04 coral,3.00,1.0,ud
Brillo de labios Volumizer gloss Deliplus 05 rosa,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 06 morado,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 07 transparente con destellos,4.50,1.0,ud
Brillo de labios Volumizer gloss Deliplus 09 coral perlado,4.50,1.0,ud
Pintalabios mate Deliplus 101 nude,4.50,1.0,ud
Pintalabios Mate Deliplus 102 caramelo,4.50,1.0,ud
Pintalabios Mate Deliplus 104 violeta,4.50,1.0,ud
Pintalabios Mate Deliplus 105 fucsia Intenso,4.50,1.0,ud
Pintalabios Mate Deliplus 107 caldera,4.50,1.0,ud
Pintalabios Mate Deliplus 108 rojo,4.50,1.0,ud
Pintalabios Mate Deliplus 109 frambuesa,4.50,1.0,ud
Pintalabios Mate Deliplus 111 marrón,4.50,1.0,ud
Pintalabios Mate Deliplus 113 malva suave,4.50,1.0,ud
Pintalabios mate Deliplus 114 rosa medio,4.50,1.0,ud
Pintalabios mate Deliplus 115 rosa intenso,4.50,1.0,ud
Pintalabios Mate Deliplus 117 nude beige,4.50,1.0,ud
Pintalabios mate Deliplus 118 marrón chocolate,4.50,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 15 Lover,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 20 Pioneer,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 50 Voyager,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 65 Seductress,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 70 Amazonian,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 80 Ruler,8.00,1.0,ud
Pintalabios fluido mate Superstay Matte Ink Maybelline 120 Artist,8.00,1.0,ud
Pintalabios Fluido Mate Deliplus 01 nude beige,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 02 nude rosado,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 03 terracota,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 04 granate,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 05 rojo,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 08 rosa palo,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 11 rosa medio,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 12 fucsia,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 13 nude beige,4.50,1.0,ud
Pintalabios Fluido Mate Deliplus 14 fucsia intenso,4.50,1.0,ud
Pintalabios Fluido Mate Hacendado 15 pétalo,4.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 01 negro,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 06 marrón,2.50,1.0,ud
Perfilador de ojos Deliplus 01 negro,2.30,1.0,ud
Perfilador de ojos Deliplus 02 marrón,2.30,1.0,ud
Perfilador de ojos Deliplus 04 azul,2.30,1.0,ud
Perfilador de ojos Deliplus 06 beige,2.30,1.0,ud
Perfilador de ojos Deliplus 03 verde,2.50,1.0,ud
Perfilador de ojos Eyeliner waterproof Deliplus negro,3.50,1.0,ud
Delineador de ojos Deliplus,3.75,1.0,ud
Perfilador de ojos Eyeliner Deliplus 02 negro,3.50,1.0,ud
Delineador de ojos Deliplus negro,3.75,1.0,ud
Kit pestañas postizas con eyeliner negro adhesivo y  joyas faciales Beautik Pro,4.00,1.0,ud
Perfilador de ojos Waterproof Deliplus 07 verde turquesa,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 09 azul metalizado,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 12 verde oliva,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 13 gris,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 14 azul noche,2.50,1.0,ud
Perfilador de ojos Waterproof Deliplus 101 negro,3.25,1.0,ud
Perfilador de ojos Waterproof Deliplus 102 marrón,3.25,1.0,ud
Perfilador de ojos Waterproof Deliplus 103 verde,3.25,1.0,ud
Perfilador de ojos Waterproof Deliplus 104 azul,3.25,1.0,ud
Delineador de ojos Eyeliner Shine Deliplus Black,4.50,1.0,ud
Delineador de ojos Eyeliner Shine Deliplus purple,4.50,1.0,ud
Delineador de ojos Eyeliner Shine Deliplus Gold,4.50,1.0,ud
Máscara de cejas Deliplus marrón,4.00,1.0,ud
Máscara de pestañas y cejas Transparente Deliplus,3.00,1.0,ud
Perfilador de cejas Long Lasting Deliplus 01 claro,2.75,1.0,ud
Perfilador de cejas Deliplus 02 medio,2.75,1.0,ud
Perfilador de cejas Long Lasting Deliplus 03 oscuro,2.75,1.0,ud
Perfilador de cejas micro Deliplus 01 claro,3.50,1.0,ud
Perfilador de cejas micro Deliplus 02 oscuro,3.50,1.0,ud
Máscara de pestañas Water Resistant Deliplus negro,3.50,1.0,ud
Rizador de pestañas Deliplus,4.50,1.0,ud
Máscara de pestañas Maxi Color Deliplus 02 marrón,3.00,1.0,ud
Máscara de pestañas y cejas Transparente Deliplus,3.00,1.0,ud
Máscara de pestañas Volume & Curve XL Deliplus negro,3.50,1.0,ud
Máscara de pestañas Maxi Volume Deliplus negro,3.00,1.0,ud
Máscara de pestañas 4D Volume Deliplus negro,3.50,1.0,ud
Máscara de pestañas Long Xtrem Deliplus negro,3.50,1.0,ud
Máscara de pestañas Maxi Curve Deliplus negro,3.00,1.0,ud
Máscara de pestañas Twist Deliplus negro,4.00,1.0,ud
Máscara de pestañas Panoramic Deliplus negro,4.00,1.0,ud
Máscara de pestañas Waterproof Deliplus negro,4.00,1.0,ud
Máscara de pestañas Big Color Deliplus verde,4.00,1.0,ud
Máscara de pestañas Big Color Deliplus azul,4.00,1.0,ud
Sombra de ojos Mate Deliplus 01,2.50,1.0,ud
Sombra de ojos Mate Deliplus 06,2.50,1.0,ud
Sombra de ojos Satin Deliplus 07,2.50,1.0,ud
Sombra de ojos Satin Deliplus 08,2.50,1.0,ud
Sombra de ojos Satin Deliplus 09,2.50,1.0,ud
Sombra de ojos Metal Deliplus 19,2.50,1.0,ud
Sombra de ojos Long Lasting Deliplus 02,3.00,1.0,ud
Sombra de ojos Long Lasting Deliplus 04,3.00,1.0,ud
Sombra de ojos Long Lasting Deliplus 05,3.00,1.0,ud
Sombra de ojos Long Lasting Deliplus 08,3.00,1.0,ud
Sombra de ojos Long Lasting Deliplus 12,3.00,1.0,ud
Paleta de rostro Sunset Deliplus,7.00,1.0,ud
Paleta sombras de ojos Sunrise Deliplus,7.00,1.0,ud
Paleta sombras de ojos Crystal Colors Deliplus 01,6.00,1.0,ud
Paleta sombras de ojos Esmeralda Deliplus,7.00,1.0,ud
Paleta sombras de ojos Zafiro Deliplus,7.00,1.0,ud
Esponja maquillaje triángulos Deliplus,2.25,4.0,ud
Sacapuntas doble Deliplus lápiz fino y grueso,2.50,1.0,ud
Kit de pinceles rostro Deliplus,7.00,3.0,ud
Kit de pinceles ojos Deliplus,4.50,4.0,ud
Kit de pinceles maquillaje Deliplus,4.00,2.0,ud
Lote de pinceles rostro Summer Deliplus,9.50,1.0,ud
Kit esponjas de maquillaje Deliplus,4.50,1.0,ud
Preparado de paella y sopa Hacendado ultracongelado,4.10,,kg
Arreglo de marisco pelado,8.88,0.47,kg
Gambón congelado,1084.05,,kg
Gambón grande congelado,19.90,2.0,kg
Alistado mediano congelado,2965.05,,kg
Alistado mediano Hacendado congelado,28.95,1.0,kg
Langostino cocido,985.05,,kg
Langostino crudo Hacendado ultracongelado,6.95,,kg
Gamba arrocera Hacendado congelada,1480.05,,kg
Gamba blanca pequeña Hacendado congelada,13.95,1.0,kg
Gamba cocida,6.95,0.3,kg
Carabinero Hacendado congelado,50.00,0.5,kg
Gamba pelada cruda tamaño mediano Hacendado ultracongelada,4.95,,kg
Gamba pelada cruda tamaño grande Hacendado ultracongelada,5.95,,kg
Camarón boreal cocido y pelado Royal Greenland ultracongelado,4.25,0.2,kg
Langostino cocido y pelado Hacendado ultracongelado,4.75,,kg
Langostino crudo y pelado Hacendado ultracongelado,3.95,,kg
Cigala mediana Hacendado ultracongelada,10.65,0.5,kg
Bogavante americano mediano crudo Hacendado congelado,14.85,,kg
Buey de mar cocido Hacendado congelado,10.96,0.715,kg
Bocas de cangrejo pequeñas congeladas,1960.20,,kg
Bocas de cangrejo pequeñas Hacendado congeladas,8.95,0.5,kg
Nécora cocida Hacendado congelada,7.50,,kg
Colas de gambón crudo Hacendado congelado,6.55,0.25,kg
Alistado pequeño Hacendado congelado,13.50,1.0,kg
Alistado pequeño congelado,1435.50,,kg
Langostino cocido Vannamei,6.00,0.6,kg
Salpicón de marisco Hacendado,4.95,0.4,kg
Mejillón,3.20,1.0,kg
Carne de mejillón de Chile cocido Hacendado ultracongelado,2.35,,kg
Mejillón de Chile entero cocido Hacendado ultracongelado,3.25,0.45,kg
Mejillón vivo y limpio,2.95,0.75,kg
Almeja japonesa,11.05,0.5,kg
Almeja Hacendado congelada,1.70,0.45,kg
Berberechos,5.95,0.5,kg
Chirla,4.35,0.5,kg
Palitos de surimi Hacendado,1.99,0.46,kg
Palitos de surimi Hacendado ultracongelados,2.35,0.6,kg
Muslitos de surimi Hacendado ultracongelados,2.60,0.45,kg
Caracoles precocidos Hacendado ultracongelados,2.95,0.35,kg
Delicias del mar de surimi Hacendado,1.99,0.25,kg
Filetes de panga Hacendado ultracongelados,4.80,,kg
Filetes de merluza del cabo sin piel Hacendado ultracongelados,5.10,,kg
Rodaja de emperador Hacendado ultracongelado,3.18,,kg
Filetes de bacalao Maredeus ultracongelado,5.65,,kg
Medallones de merluza Hacendado ultracongelados,4.50,,kg
Filete de salmón rosado salvaje con piel Hacendado ultracongelado,3.58,,kg
Rodajas de emperador pequeñas Hacendado ultracongeladas,12.95,,kg
Lomos y centros de merluza del cabo Hacendado ultracongelados,4.25,0.4,kg
Anguriñas de surimi Hacendado ultracongeladas,2.30,0.26,kg
Fritura de pescado Hacendado ultracongelada,5.45,,kg
Porciones de bacalao sin piel MareDeus ultracongelado,7.20,,kg
Rodaja de tintorera sin piel Hacendado ultracongelada,3.13,,kg
Porciones de merluza del cabo sin piel Hacendado ultracongeladas,4.60,,kg
Pescadilla de merluza del cabo sin cabeza Hacendado ultracongelada,5.00,,kg
Cola de rape del cabo Hacendado ultracongelada,8.48,,kg
Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados,9.90,,kg
Merluza del cabo sin cabeza Hacendado ultracongelada,4.86,,kg
Lomos de salmón sin piel y sin espinas Hacendado congelado,6.40,0.25,kg
Migas de bacalao sin espinas y sin piel MareDeus ultra congeladas,3.85,,kg
Rodajas de atún de aleta amarilla Hacendado congelado,4.24,0.25,kg
Lomo de bacalao MareDeus ultracongelado,6.74,0.39,kg
Albóndigas de bacalao Camós congeladas,1.90,0.4,kg
Aritos de surimi a la romana Hacendado ultracongelados,2.95,0.6,kg
Merluza empanada pan fino Hacendado ultracongelada,3.95,0.51,kg
Filetes de merluza al huevo Hacendado ultracongelados,4.95,0.6,kg
Varitas de merluza empanadas Hacendado ultracongeladas,3.95,0.4,kg
Empanadillas de atún Hacendado ultracongeladas,1.90,0.5,kg
Palitos de merluza a la romana Hacendado ultracongelados,2.75,0.5,kg
Figuritas de merluza empanadas Hacendado ultracongeladas,3.40,0.5,kg
Chipirones enharinados Hacendado ultracongelado,4.95,0.35,kg
Langostino caballitos rebozados Hacendado ultracongelados,3.30,0.3,kg
Filetes de boquerón en tempura Hacendado ultracongelado,3.75,0.4,kg
Rabas empanadas Hacendado ultracongeladas,3.95,0.5,kg
Anillas de pota a la romana Hacendado ultracongeladas,4.30,0.5,kg
Croquetas de merluza Hacendado ultracongelados,2.10,0.35,kg
Tubo de pota argentina limpia congelado,1.39,,kg
Sepia limpia congelada,5.98,,kg
Huevas de sepia Hacendado congeladas,6.95,0.35,kg
Sepia limpia troceada Hacendado congelada,4.50,,kg
Calamar limpio troceado Hacendado congelado,5.10,,kg
Rodaja de potón del Pacífico cocido Hacendado congelado,6.05,,kg
Sepia limpia pequeña Hacendado congelada,4.50,,kg
Tiras de potón Hacendado congeladas,4.45,,kg
Tinta de sepia Nortindal congelada,2.05,0.032,kg
Anillas de pota Hacendado congeladas,5.15,,kg
Pulpo crudo Hacendado congelado,17.95,1.0,kg
Chipirón puntilla Hacendado congelado,4.70,,kg
Calamar patagónico pequeño Hacendado ultracongelado,4.50,,kg
Calamar grande Hacendado congelado,3.19,0.2,kg
Salmón a rodajas,37.28,3.12,kg
Salmón media pieza a rodajas,17.21,1.44,kg
Salmón abierto en libro sin cabeza y sin espina,37.28,3.12,kg
Salmón media pieza abierto en libro sin cabeza y sin espina,17.21,1.44,kg
Salmón sin aletas y sin escamas,37.28,3.12,kg
Salmón media pieza sin aletas y sin escamas,17.21,1.44,kg
Filete de salmón,8.78,0.4,kg
Rodajas de salmón,7.98,0.4,kg
Escalopines de salmón,9.98,0.4,kg
Dorada limpia con cabeza,4.29,0.49,kg
Dorada abierta a la espalda con espinas y con cabeza,4.29,0.49,kg
Dorada a filetes sin cabeza y sin espina,4.29,0.49,kg
Dorada abierta en libro sin cabeza y sin espina,4.29,0.49,kg
Dorada sin limpiar,4.29,0.49,kg
Filetes de dorada,8.72,0.38,kg
Lubina limpia con cabeza,3.02,0.38,kg
Lubina abierta a la espalda con espinas y con cabeza,3.02,0.38,kg
Lubina a filetes sin cabeza y sin espina,3.02,0.38,kg
Lubina abierta en libro sin cabeza y sin espina,3.02,0.38,kg
Lubina sin limpiar,3.02,0.38,kg
Filetes de lubina,8.90,0.4,kg
Merluza a rodajas,12.34,1.24,kg
Merluza media pieza a rodajas,7.66,0.77,kg
Merluza abierta en libro sin cabeza y sin espina,12.34,1.24,kg
Merluza media pieza abierta en libro sin cabeza y sin espina,7.66,0.77,kg
Merluza sin aletas y sin escamas,12.34,1.24,kg
Merluza media pieza sin aletas y sin escamas,7.66,0.77,kg
Porciones de merluza del cabo,9.22,0.385,kg
Bacalao a rodajas,28.95,2.91,kg
Bacalao media pieza a rodajas,16.02,1.61,kg
Bacalao abierto en libro sin cabeza y sin espina,28.95,2.91,kg
Bacalao media pieza abierto en libro sin cabeza y sin espina,16.02,1.61,kg
Bacalao al punto de sal con agua añadida,7.48,0.5,kg
Hoja de bacalao,13.92,0.8,kg
Corvina limpia con cabeza,13.63,1.37,kg
Corvina abierta a la espalda con espinas y con cabeza,13.63,1.37,kg
Corvina a filetes,13.63,1.37,kg
Sepia,11.51,0.77,kg
Calamar pequeño limpio patagónico,5.10,0.3,kg
Tiras de potón del Pacífico Hacendado,3.60,0.3,kg
Patas de pulpo cocido,9.95,0.25,kg
Trucha abierta en libro con cabeza,3.10,0.39,kg
Trucha abierta en libro sin cabeza y sin espina,3.10,0.39,kg
Trucha sin aletas,3.10,0.39,kg
Filetes de trucha Arco iris,3.38,0.226,kg
Lenguado sin cabeza y sin piel,3.99,0.16,kg
Lenguado sin limpiar,3.99,0.16,kg
Boquerón sin limpiar,1.99,0.2,kg
Boquerón limpio sin cabeza,1.99,0.2,kg
"Rodaballo con piel, sin aletas y sin agallas",19.11,1.39,kg
Rodaballo a filetes,19.11,1.39,kg
Rodaballo a filetes y sin piel,19.11,1.39,kg
Sardina sin limpiar,1.59,0.2,kg
Sardina limpia sin cabeza,1.59,0.2,kg
Morralla,787.05,,kg
Porciones de rape blanco descongelado,8.84,0.295,kg
Emperador marinado,5.39,0.23,kg
Filetes de Gallineta descongelada,4.92,0.38,kg
Elaborado de merluza y gambón,2.95,0.24,kg
Merluza rebozada,3.75,0.23,kg
Rodaja bonito del norte,7.50,0.6,kg
Filetes de anchoa en aceite de girasol Hacendado,2.10,0.12,kg
Boquerones en vinagre Hacendado en aceite de girasol,1.65,0.08,kg
Boquerones al vinagre Hacendado en aceite de girasol,5.60,0.33,kg
Filetes de anchoa en aceite de oliva Hacendado,1.25,0.042,kg
Filetes de anchoa en aceite de oliva Hacendado,2.95,0.12,kg
Filetes de sardina anchoada Hacendado en aceite de girasol,1.60,0.08,kg
Migas de bacalao desaladas Hacendado,6.75,0.3,kg
Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,1.45,0.08,kg
Sucedáneo de caviar negro Ubago Caviartic,1.85,0.075,kg
Filetes de anchoa en aceite de oliva Hacendado,6.70,0.14,kg
Filetes de anchoa en aceite de oliva Hacendado,3.75,0.074,kg
Mojama de atún superior en taco Hacendado seca salada,8.00,0.2,kg
Palito de bacalao salado Hacendado,3.18,0.074,kg
Boquerones aliñados Hacendado,1.70,0.08,kg
Hoja de bacalao,13.92,0.8,kg
Salmón ahumado Hacendado,3.80,0.1,kg
Salmón ahumado Hacendado,10.80,0.3,kg
Bacalao ahumado Hacendado en aceite de girasol,3.30,0.11,kg
Salmón marinado Hacendado,3.50,0.08,kg
Filetes de sardina ahumada Hacendado en aceite de girasol,2.05,0.085,kg
Taquitos de salmón ahumado Hacendado,3.80,0.1,kg
Surtido sushi Bento grande,10.75,0.31,kg
Surtido sushi Bento pequeño,6.75,0.16,kg
Surtido sushi Bento mix,8.75,0.35,kg
Noodles Yakisoba con carne y verduras,4.50,0.3,kg
Poke salmón,5.50,0.4,kg
Pollo teriyaki,5.00,0.3,kg
"Bocaditos en salsa gato adulto Lechat Excellence con pollo, pavo y verduras",0.70,0.4,kg
"Bocaditos en salsa gato adulto Lechat Excellence con salmón, trucha  y verduras",0.70,0.4,kg
Paté gato júnior Delikuit con pollo y pavo,0.45,0.1,kg
Paté gato adulto Delikuit con trucha y salmón,0.45,0.1,kg
Paté gato adulto Delikuit con pollo y pavo,0.45,0.1,kg
Mousse con lenguado y salmón gato adulto Delikuit,2.00,0.34,kg
Mousse con ternera y pollo gato adulto Delikuit,2.00,0.34,kg
Bocaditos en gelatina gato júnior Delikuit con pollo y pavo,2.50,0.8,kg
Bocaditos en gelatina gato adulto Delikuit,2.30,0.8,kg
Bocaditos en gelatina gato adulto Delikuit,2.30,0.8,kg
Gelatina gato adulto selección de aves Quartett,1.80,0.34,kg
Gelatina gato adulto selección de pescado Quartett,1.80,0.34,kg
Bocaditos en salsa gato adulto Delikuit esterilizado,2.75,0.8,kg
"Comida gato júnior Compy con pollo, frutas y verduras",3.30,1.5,kg
"Comida gato adulto Compy con pollo, ternera, frutas y verduras",12.50,10.0,kg
"Comida gato adulto Compy con pollo, ternera, frutas y verduras",3.05,2.0,kg
"Comida gato adulto Compy con salmón, atún, frutas y verduras",12.50,10.0,kg
"Comida gato adulto Compy con salmón, atún, frutas y verduras",3.05,2.0,kg
"Comida gato esterilizado light Compy con pollo, frutas y verduras",3.40,1.5,kg
"Comida gato júnior Supreme Compy con pollo, frutas y verduras",3.30,0.8,kg
"Comida gato adulto Supreme Compy con pollo, frutas y verduras",5.30,1.5,kg
"Comida gato esterilizado light Supreme Compy con pollo fresco, frutas y verduras",5.30,1.5,kg
"Comida gato adulto Supreme Compy con salmón, frutas y verduras",5.30,1.5,kg
"Comida gato sénior Supreme Compy con pollo fresco, frutas y verduras",5.30,1.5,kg
Arena para gato antibacterias Nuske,1.40,5.0,kg
Arena para gato aglomerante Nuske perfumada,3.75,5.0,kg
Arena para gato de perlas sílice Single,3.55,4.0,l
Hierba para gatos Natura,3.50,0.12,kg
Malta para gato Natura con queso,4.00,0.1,kg
Agua de colonia para perros y gatos Krislin,3.40,0.25,l
Champú perros y gatos con aloe vera Nuske efecto repelente,3.50,0.31,l
Snacks gato rellenos con salmón y malta Compy,1.10,0.07,kg
Snack gato aperitivo líquido Compy,1.60,0.12,kg
Snacks gato rellenos con pollo y malta Compy,1.10,0.07,kg
Snack gato barritas Compy de pollo e hígado,1.05,0.05,kg
Snack gato barritas Compy de salmón y trucha,1.05,0.05,kg
Snack gato crunchy con hierba gatera Compy cuidado de dientes,1.10,0.07,kg
Paté perro júnior Delikuit con ternera y leche,0.85,0.15,kg
"Paté perro junior Delikuit con pollo, pavo y verduras",0.95,0.3,kg
"Paté perro adulto Delikuit con ternera, hígado y verduras",0.95,0.3,kg
"Trozos en salsa perro adulto Delikuit con ternera, hígado y verduras",1.50,1.23,kg
Trozos en salsa perro adulto Delikuit con salmón y verduras,1.50,1.23,kg
Salchicha perro adulto Delikuit con pollo y arroz,1.80,1.0,kg
Paté perro adulto Delikuit con ternera y verduras,0.85,0.15,kg
"Trozos en salsa perro adulto Delikuit con ternera, pavo y verduras",0.85,0.3,kg
Paté perro adulto Delikuit con salmón y verduras,0.95,0.3,kg
Trozos en salsa perro adulto Delikuit con salmón y verduras,0.85,0.3,kg
Trozos en salsa para perros adultos Quartett con pollo y verduras,2.25,0.4,kg
"Comida perro júnior Compy con pollo, arroz, frutas y verduras",6.25,4.0,kg
"Comida perro adulto Compy con ternera, pollo, verduras y arroz",17.50,18.0,kg
"Comida perro adulto Compy con pollo, ternera, frutas y verduras",17.50,18.0,kg
"Comida perro adulto Compy con pollo, ternera, frutas y verduras",5.85,4.0,kg
"Comida perro adulto Compy con pollo, ternera, frutas y verduras",5.00,3.0,kg
Aritos perro adulto y sénior Compy,8.30,4.0,kg
Mini aritos perro adulto y sénior Compy,4.15,1.5,kg
Comida perro adulto Compy original,13.50,18.0,kg
"Comida perro sénior y adultos esterilizados Supreme Compy con pollo, frutas y verduras",6.25,4.0,kg
"Comida perro adulto Compy con salmón, atún, frutas y verduras",6.25,4.0,kg
Comida perro júnior Supreme Compy pollo fresco con frutas y verduras,9.50,3.0,kg
"Comida perro júnior Supreme Compy con pollo fresco, frutas y verduras",5.25,1.5,kg
"Comida perro sénior y adultos esterilizados Supreme Compy con pollo, frutas y verduras",9.50,3.0,kg
Comida perro sénior esterilizados Supreme Compy pollo fresco con frutas y verduras,5.25,1.5,kg
Comida perro adulto Supreme Compy salmón fresco con frutas y verduras,24.50,10.0,kg
Comida perro adulto Supreme Compy salmón fresco con frutas y verduras,9.50,3.0,kg
Comida perro adulto Supreme Compy salmón fresco con frutas y verduras,5.25,1.5,kg
Comida perro adulto Supreme Compy pollo fresco con frutas y verduras,24.50,10.0,kg
