producto,precio,tamaño,sizes_format
Nuez de Brasil natural Hacendado,3.10,0.2,kg
Pistacho natural Hacendado pelado,2.64,0.1,kg
Nuez Pecana natural Hacendado pelada,3.56,0.2,kg
Palomitas de maíz dulces Hacendado para microondas,1.70,0.315,kg
Cacahuete tostado Hacendado pelado 0% sal añadida,1.15,0.2,kg
Cacahuete +Proteínas en polvo desgrasado Hacendado 14 g proteínas 70% reducido en grasa,2.75,0.2,kg
Nuez natural troceada Hacendado,1.50,0.15,kg
Cocktail mezcla Hacendado,1.50,0.3,kg
"Combinado frutos secos, frutas desecadas y semillas de calabaza Hacendado",2.20,0.2,kg
Cocktail crunchy sabores Hacendado,1.70,0.2,kg
Cocktail rodeo Hacendado,1.55,0.25,kg
Cocktail natural Hacendado,2.40,0.2,kg
Cocktail tostado 0% sal añadida Hacendado,2.50,0.2,kg
Cocktail tostado y ahumado Hacendado,2.50,0.2,kg
Cocktail fruta deshidratada Hacendado,1.60,0.2,kg
Cocktail rumba Hacendado,1.60,0.3,kg
Pasas sultanas sin semillas Hacendado,1.35,0.25,kg
Pasas moscatel sin semillas Hacendado,1.70,0.25,kg
Ciruelas desecadas sin hueso Fundo Sofruco,2.10,0.25,kg
Dátiles desecados sin hueso Hacendado,2.10,0.35,kg
Arándanos deshidratados Hacendado,2.30,0.2,kg
Piña deshidratada Hacendado,1.25,0.05,kg
Orejones albaricoque Hacendado,2.50,0.2,kg
Dátiles en rama Hacendado,3.10,0.4,kg
Dátiles Medjoul con hueso Hacendado,3.85,0.215,kg
Patatas fritas extra crujientes Hacendado,1.30,0.15,kg
Patatas fritas clásicas Hacendado,1.80,0.3,kg
Patatas fritas receta churrería Hacendado,1.05,0.15,kg
Patatas fritas Lisas Hacendado,1.05,0.15,kg
Patatas fritas onduladas Hacendado sabor jamón serrano,1.20,0.15,kg
Patatas fritas corte ondulado Hacendado,1.00,0.15,kg
Patatas light Hacendado,1.30,0.15,kg
Aperitivo de patata sabor original Pringles,1.99,0.165,kg
Patatas fritas sabor campestre Hacendado,1.20,0.15,kg
Aperitivo de patata sabor crema agria y cebolla Pringles,1.99,0.165,kg
Patatas fritas sabor sal y vinagre Hacendado,1.20,0.15,kg
Patatas fritas sabor chili y lima Hacendado,1.20,0.15,kg
Patatas fritas al punto de sal Lay's,1.99,0.195,kg
Patatas fritas onduladas Munchos sabor queso,1.20,0.13,kg
Patatas fritas 0% sal añadida Hacendado,1.60,0.13,kg
Patatas fritas sabor pimiento asado Hacendado,1.20,0.15,kg
Nachos Hacendado,0.90,0.15,kg
Pandilla sabor queso Cheetos,1.89,0.075,kg
Tiras de maíz frito sabor barbacoa Hacendado,0.75,0.15,kg
Pelotazos sabor queso Cheetos,1.89,0.13,kg
Nachos tex-mex Hacendado sabor queso,0.95,0.15,kg
Garfitos de maíz sabor queso Hacendado,0.70,0.08,kg
Cuquitos sabor queso Hacendado,0.75,0.1,kg
Conos sabor bacon y queso Hacendado,0.75,0.1,kg
Galletitas saladas Hacendado,1.20,0.35,kg
Cuquis Hacendado,0.70,0.08,kg
Combinado de aperitivos Hacendado,1.50,0.2,kg
Bombitas de maíz sabor mantequilla Hacendado,0.75,0.08,kg
Snack de maíz sabor barbacoa Estrella,1.45,0.14,kg
Torreznos sabor barbacoa Hacendado,1.55,0.1,kg
Trigo snack sabor ahumado Hacendado,0.85,0.08,kg
Patatas fritas paja Hacendado,1.50,0.2,kg
Torreznos Hacendado,1.65,0.12,kg
Piña deshidratada Hacendado,1.25,0.05,kg
Snack de maíz Bits Doritos sabor barbacoa,0.95,0.08,kg
Cocktail galletitas de aperitivo Hacendado,1.55,0.3,kg
Sticks de patata Hacendado,0.80,0.075,kg
Cortezas,1.00,0.075,kg
Súper cuquis La Llanura,1.20,0.06,kg
Aros de maíz Hacendado,0.85,0.12,kg
Palomitas caramelo Hacendado,1.30,0.12,kg
Snack de maíz sabor mantequilla Snakis,1.00,0.1,kg
Snack de maíz Crunchy sabor picante Munchos,1.00,0.1,kg
Cocktail mezcla aperitivos fritos Hacendado,1.00,0.1,kg
Snack de maíz Redes sabor barbacoa Hacendado,0.90,0.1,kg
Sticks vegetales Hacendado,1.20,0.1,kg
Panes especiales sabor barbacoa con pipas Hacendado,0.90,0.08,kg
Snack frito Rolls sabor chili y lima Hacendado picante,1.00,0.1,kg
Arroz redondo Hacendado,1.27,1.0,kg
